preset,metric,p10,p25,p50,p75,p90,mean,std,min,max
Monster,solutionTurns,1662.000000,1824.000000,2082.000000,2312.000000,2519.000000,2079.576000,328.880787,1361.000000,3137.000000
Monster,turnsPer100PathCells,63.150868,63.693694,64.258555,64.834549,65.409483,64.260406,0.867325,61.389803,66.486178
Monster,solutionDecisionPoints,178.000000,200.000000,229.000000,261.000000,286.000000,230.786000,41.263933,131.000000,372.000000
Monster,decisionPointsPer100PathCells,6.469604,6.773560,7.126050,7.493659,7.746914,7.123906,0.516751,5.456702,8.828187
Monster,averageWrongBranchLength,10.455479,11.823770,13.952381,16.616580,19.503106,14.483984,3.481253,7.393140,27.766917
Monster,maxWrongBranchLength,424.000000,570.000000,760.000000,1008.000000,1266.000000,810.674000,329.389544,213.000000,1935.000000
Monster,zoneCoverage,0.875000,0.937500,1.000000,1.000000,1.000000,0.962625,0.054786,0.750000,1.000000
Monster,minSpan,1.000000,1.000000,1.000000,1.000000,1.000000,0.994869,0.025851,0.777778,1.000000
Monster,generationTimeMs,6.714141,6.969548,7.285717,7.647964,8.032162,7.544672,1.280021,6.173870,17.083781
Monster,compositeScore,0.861731,0.925288,1.013226,1.091847,1.154407,1.010046,0.110055,0.780615,1.250000
Monster,difficultyScore,0.392350,0.397536,0.404080,0.411581,0.418073,0.404512,0.009881,0.376431,0.441576
Wide,solutionPathCells,404.000000,429.000000,463.000000,498.000000,534.000000,464.782000,49.767886,338.000000,619.000000
Wide,solutionPathFraction,0.404000,0.429000,0.463000,0.498000,0.534000,0.464782,0.049768,0.338000,0.619000
Wide,solutionTurns,250.000000,269.000000,291.000000,314.000000,337.000000,292.264000,33.321319,213.000000,404.000000
Wide,turnsPer100PathCells,60.224719,61.616162,62.880325,64.182195,65.566038,62.872279,2.171931,56.617647,70.990566
Wide,solutionDecisionPoints,34.000000,39.000000,44.000000,49.000000,53.000000,43.652000,7.188525,24.000000,64.000000
Wide,decisionPointsPer100PathCells,8.060453,8.669355,9.355509,10.095238,10.672854,9.371005,1.012738,6.053269,11.990950
Wide,averageWrongBranchLength,5.759259,6.641509,7.772727,9.121951,10.783784,8.032182,2.004378,4.118644,14.965517
Wide,maxWrongBranchLength,48.000000,59.000000,72.000000,89.000000,109.000000,76.478000,25.921989,28.000000,184.000000
Wide,zoneCoverage,0.937500,1.000000,1.000000,1.000000,1.000000,0.989000,0.030684,0.750000,1.000000
Wide,minSpan,0.929293,0.969697,1.000000,1.000000,1.000000,0.978404,0.040514,0.696970,1.000000
Wide,generationTimeMs,0.645245,0.673032,0.695144,0.742983,0.994888,0.742809,0.132758,0.608814,1.300643
